Unnamed: 0.1,Unnamed: 0,Column1,scope,title,manual_keywords,generated_keywords,name,description,title_en,description_en
10,10,10,openSAP,Climate Action with SAP Sustainability Footprint Management,Climate Action;Climate Change;Carbon Accounting;reducing greenhouse gas emissions;carbon dioxide;SAP Sustainability Footprint Management;Carbon accounting methodologies;Sustainability;SustainableBusiness,Climate Action;Sustainability;Business;Environment;Footprint Management;Carbon Emissions;Green Initiatives;Corporate Social Responsibility;Environmental Impact;Sustainable Practices,Climate Action with SAP Sustainability Footprint Management,<p>Join this free online course to learn about the challenges businesses face when it comes to climate action and how SAP Sustainability Footprint Management can help you tackle these challenges.</p>,Climate Action with SAP Sustainability Footprint Management,<p>Join this free online course to learn about the challenges businesses face when it comes to climate action and how SAP Sustainability Footprint Management can help you tackle these challenges.</p>
11,11,11,openSAP,Crisis Management and Resilience,Risk Management;Resilience;Risk;Intelligent Enterprise;Crisis Management;World Economic Forum;European Union Pact for Skills;Digital Transformation;Negative Impact Reduction;Business Continuity;Framework;ForUsGirls,Crisis Management;Resilience Building;Emergency Response;Disaster Recovery;Technology Integration;Emergency Preparedness;Risk Management;Crisis Communication;Adaptability Skills;Business Continuity,Crisis Management and Resilience,"<p>Join this free online course to learn about crisis management, get an introduction to a simple but useful crisis management framework, and discover how the use of technology can foster resilience.</p>",Crisis Management and Resilience,"<p>Join this free online course to learn about crisis management, get an introduction to a simple but useful crisis management framework, and discover how the use of technology can foster resilience.</p>"
12,12,12,openSAP,Accelerate Enterprise Integrations with SAP Integration Suite,Agility;SAP Cloud Platform;SAP Business Technology Platform; XML;APIs;Intelligent Enterprise;SAP Integration Suite;European Union Pact for Skills;Groovy;JavaScript;Integration Platform-as-a-service;iPaaS;BTP;SAP Cloud Platform Extension Suite,SAP;Integration;Suite;Enterprise;Simplify;Accelerate;Intelligent;Transformation;Data Exchange;Business Process,Accelerate Enterprise Integrations with SAP Integration Suite,"<p>Join this free online course about SAP Integration Suite and learn how to simplify and accelerate enterprise integrations, so organizations can quickly transition and become intelligent enterprises.</p>",Accelerate Enterprise Integrations with SAP Integration Suite,"<p>Join this free online course about SAP Integration Suite and learn how to simplify and accelerate enterprise integrations, so organizations can quickly transition and become intelligent enterprises.</p>"
13,13,13,openSAP,Efficient DevOps with SAP,Cross-Functional;Application Programming;ABAP Development;SAP Cloud Platform;Hybrid Change Management;DevOps;Git;European Union Pact for Skills;Cloud-Native;Integration Server;SAP Development;On-Premise,DevOps;SAP Development;Project Management;Workflow Automation;Collaboration Tools;Agile Methodology;Software Development Life Cycle (SDLC);Efficiency Improvement;Process Optimization;IT Operations,Efficient DevOps with SAP,<p>Join this free online course to learn about DevOps and how you can efficiently foster DevOps principles along the relevant phases of SAP development projects.  </p>,Efficient DevOps with SAP,<p>Join this free online course to learn about DevOps and how you can efficiently foster DevOps principles along the relevant phases of SAP development projects.  </p>
14,14,14,openSAP,The Business Opportunities of a Digitally Transformed Economy,Deloitte;Accelerator;Sustainable Business Processes;QUT;Best Practices;Resilience;Nutshell;Profitability;Intelligent Enterprise;Business Transformation;European Union Pact for Skills;Digital Innovation Path;Digitization;Digital Transformation Journey;Driver of Change;Value Lever Model;ForUsGirls;Digital Economy;Catalyst,Digital Transformation;Business Growth;Economic Change;Leadership Development;Company Adaptation;Resilience;Profitability;Sustainability;Online Learning;Entrepreneurial Success,The Business Opportunities of a Digitally Transformed Economy,"<p>Join this free online course to learn how to lead your company towards a digitally transformed economy and make it more resilient, profitable, and sustainable.</p>",The Business Opportunities of a Digitally Transformed Economy,"<p>Join this free online course to learn how to lead your company towards a digitally transformed economy and make it more resilient, profitable, and sustainable.</p>"
15,15,15,openSAP,Getting Started with Data Science (Edition 2021),Data Understanding;Evaluating Model Performance;Data Modeling;Analytical Data Set;Intelligent Enterprise;Data Evaluation;European Union Pact for Skills;Maintenance;Predicitive Models;Churn Model;Analytics;Data Science;ForUsGirls;Deployment;Encode Data,Data Science;Online Course;Fundamentals;Data Preparation;Predictive Modeling;Business Environment;Project Methodology;Deployment;Maintenance;Business Intelligence,Getting Started with Data Science (Edition 2021),"<p>Join this free online course to learn about data science. The course will introduce you to the fundamentals of data preparation, predictive modeling, data science, and the deployment and maintenance of models in a business environment following a tried and tested project methodology.</p>",Getting Started with Data Science (Edition 2021),"<p>Join this free online course to learn about data science. The course will introduce you to the fundamentals of data preparation, predictive modeling, data science, and the deployment and maintenance of models in a business environment following a tried and tested project methodology.</p>"
16,16,16,openSAP,Introduction to SAP Datasphere (Repeat),BI Consulting;Business User;Data;Data Analytics;Data Integration;Data Modeling;Hands-on Exercises;Multi-Cloud;SAP Datasphere;Self-Service Modeling;semantic business modeling,Data Management;Business Intelligence;Data Analytics;Integration;Insights;Data Sharing;Platform;Business Decisions;Data Exploration;Data Marketplace,Introduction to SAP Datasphere (Repeat),"<p>Join this free online course to learn about SAP Datasphere and explore how business users can leverage managed spaces and the data marketplace to explore data, integrate information, and share insights.</p>",Introduction to SAP Datasphere (Repeat),"<p>Join this free online course to learn about SAP Datasphere and explore how business users can leverage managed spaces and the data marketplace to explore data, integrate information, and share insights.</p>"
17,17,17,openSAP,Design Thinking in a Nutshell,Business Innovation;Problem Solving;Prototype;Innovation;How Might We;Practice In-Demand Skills;Customer Journey Map;User-Centric Solution;Idea Generation;Empathy;Ideation;Creativity;Design Thinking,Design Thinking;Innovation;Problem Solving;Creativity;Online Course;Free Resources;Real-Life Scenarios;Methodology;Skills Development;Learning Opportunities,Design Thinking in a Nutshell,"<p>Join this free online course to learn about the proven design thinking methodology. Immerse yourself in activities that will help you practice in-demand skills based on real-life opportunities and strengthen your capacity for innovation, problem solving, and creativity.</p>",Design Thinking in a Nutshell,"<p>Join this free online course to learn about the proven design thinking methodology. Immerse yourself in activities that will help you practice in-demand skills based on real-life opportunities and strengthen your capacity for innovation, problem solving, and creativity.</p>"
18,18,18,openSAP,An Enterprise Architect’s View on SAP Business Technology Platform,SAP Cloud Platform;Intelligent Enterprise;European Union Pact for Skills;Enterprise Architecture Methodology;Business Technology Platform;BTP;SAP Data Intelligence,Enterprise Architecture;SAP Business Technology Platform;Business Technology;Architecture Perspective;Business Context;Technology Adoption;Business Value;Holistic Approach;Technical Aspects;Business Insights,An Enterprise Architect’s View on SAP Business Technology Platform,<p>Join this free online course to learn how to put technology into a business context with SAP Business Technology Platform by adopting the perspective of an enterprise architect.</p>,An Enterprise Architect’s View on SAP Business Technology Platform,<p>Join this free online course to learn how to put technology into a business context with SAP Business Technology Platform by adopting the perspective of an enterprise architect.</p>
19,19,19,openSAP,Enterprise Goes Cloud,Hands-on Programming Exercises;Cloud Models;Enterprise Architecture;SAP Business Technology Platform;Intelligent Enterprise;European Union Pact for Skills;Cloud Computing;Cloud Applications;Cloud Foundations;Business Processes;ForUsGirls;BTP,Cloud Computing;Enterprise Technology;Online Course;Cloud Platforms;SAP Technology;Business Applications;Cloud-Native;Deployment;Technology Platform;Practical Exercise,Enterprise Goes Cloud,"<p>In this free online course, you’ll learn not only the theoretical key concepts and technologies of enterprise cloud platforms, but also conduct a practical exercise to apply some of your newly acquired knowledge by deploying a sample cloud-native application on SAP Business Technology Platform.</p>",Enterprise Goes Cloud,"<p>In this free online course, you’ll learn not only the theoretical key concepts and technologies of enterprise cloud platforms, but also conduct a practical exercise to apply some of your newly acquired knowledge by deploying a sample cloud-native application on SAP Business Technology Platform.</p>"
20,20,20,openSAP,Getting Started with ESG Steering and Reporting,Reporting;Environmental Social Governance;Intelligent Enterprise;Integrated Sustainability Performance Management;Corporate Sustainability; Financial Performance;ESG;SustainableBusiness;SAP Sustainability Control Tower,Environmental Sustainability;Social Responsibility;Governance Practices;ESG Reporting;Sustainability Performance;Holistic Approach;Integrated Management;Corporate Social Responsibility;Reporting Requirements;Sustainable Development,Getting Started with ESG Steering and Reporting,"<p>Join this free online course to learn about drivers and challenges around environmental, social, and governance (ESG) steering and reporting. Moreover get insights on how SAP can help customers by providing them with a platform and supporting capabilities to enable holistic and integrated sustainability performance management.</p>",Getting Started with ESG Steering and Reporting,"<p>Join this free online course to learn about drivers and challenges around environmental, social, and governance (ESG) steering and reporting. Moreover get insights on how SAP can help customers by providing them with a platform and supporting capabilities to enable holistic and integrated sustainability performance management.</p>"
21,21,21,openSAP,This Is SAP Fieldglass (Update Q1/2022),VMS;Contingent Worker Procurement; Services Transactions;Human Resources;Business Networks;Business Network;Worker Profile Engagement;Integration;European Union Pact for Skills;Vendor Management Solution;Analytics;Service Procurement;Staffing;SAP Fieldglass,SAP;Fieldglass;Vendor management;Workforce management;Temporary workers;Contract workers;Flexible workforce;Procurement;Management;Optimization,This Is SAP Fieldglass (Update Q1/2022),"<p>Join this free online course to learn about SAP Fieldglass, SAP’s vendor management solution that simplifies the process of procuring, managing, and optimizing flexible workforces. </p><p><strong>""This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>",This Is SAP Fieldglass (Update Q1/2022),"<p>Join this free online course to learn about SAP Fieldglass, SAP’s vendor management solution that simplifies the process of procuring, managing, and optimizing flexible workforces. </p><p><strong>""This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>"
22,22,22,openSAP,Getting Started with SAP Fieldglass (Update Q1/2022),VMS;Contingent Worker Procurement;Contingent Workforce Transactions;Procurement Workflow Process; Services Transactions;Human Resources;Business Networks;Worker Profile Engagement;Integration;European Union Pact for Skills;Vendor Management Solution;Analytics;Service Procurement;SAP Fieldglass,SAP Fieldglass;Contingent workforce;Services management;Analytics;Modules;Workflows;Transactions;Statement of work;Integration;Learning resource,Getting Started with SAP Fieldglass (Update Q1/2022),"<p>Join this free online course to learn more about specific modules in the SAP Fieldglass solution and the workflows within them, including contingent workforce transactions, services (statement of work) transactions, and analytics, and get an introduction to the integration functionality.</p><p><strong>This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>",Getting Started with SAP Fieldglass (Update Q1/2022),"<p>Join this free online course to learn more about specific modules in the SAP Fieldglass solution and the workflows within them, including contingent workforce transactions, services (statement of work) transactions, and analytics, and get an introduction to the integration functionality.</p><p><strong>This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>"
23,23,23,openSAP,Introducing SAP Fieldglass Assignment Management (Repeat),Transactional Processes;VMS; Services Transactions;Business Networks;European Union Pact for Skills;Service Receipt;Vendor Management Solution;Time Processing;Assignment Management;SAP Fieldglass,SAP Fieldglass;Assignment Management;Online Course;Workflow Efficiency;Task Management;Organization Management;Business Process;Transactional Process;Use Case Scenarios;Management Tools,Introducing SAP Fieldglass Assignment Management (Repeat),"<p>Join this free online course to learn about the next module in SAP Fieldglass: Assignment Management. The course will enable you to explore use case scenarios, understand the transactional processes, and describe the benefits of this module for your organization. </p>",Introducing SAP Fieldglass Assignment Management (Repeat),"<p>Join this free online course to learn about the next module in SAP Fieldglass: Assignment Management. The course will enable you to explore use case scenarios, understand the transactional processes, and describe the benefits of this module for your organization. </p>"
24,24,24,openSAP,Manage Your External Workforce Program with SAP Fieldglass,VMS;External Workforce Program;Contingent Worker Procurement;Program Management Office;PMO;Human Resources;Nutshell;Business Networks;European Union Pact for Skills;Vendor Management Solution;Service Procurement;SAP Fieldglass,Program Management;External Workforce;SAP Fieldglass;Program Office;Management Tools;Effective Management;Workforce Solutions;Business Operations;Project Management;Vendor Management,Manage Your External Workforce Program with SAP Fieldglass,"<p>Join this free online course to get an introduction to the concept, purpose, and importance of a program management office (PMO) for your external workforce program. </p><p><strong>This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>",Manage Your External Workforce Program with SAP Fieldglass,"<p>Join this free online course to get an introduction to the concept, purpose, and importance of a program management office (PMO) for your external workforce program. </p><p><strong>This course belongs to the <a href=""https://open.sap.com/courses/fgc3-tr"">External Workforce Management with SAP Fieldglass Track (2023 Edition)</a> and can be reactivated free of charge there.""</strong></p>"
25,25,25,openSAP,Developing and Extending SAP Fiori Elements Apps,Hands-on Programming Exercises;SAPUI5;SAP Web IDE;SAP Fiori;Coding;User Experience;User Interface Design;European Union Pact for Skills;OData;Software Design;SAP Fiori Elements Apps;Extending;SAP Fiori Tools;SAP S/4HANA Apps;Intuititive;ForUsGirls;UX,SAP Fiori Elements;App Development;SAP S/4HANA;Custom Apps;UI Components;Programming;Online Course;Free Resource;SAP Applications;Extension Development,Developing and Extending SAP Fiori Elements Apps,<p>Join this free online course to learn how to develop your own SAP Fiori elements apps and extend an SAP S/4HANA app.</p>,Developing and Extending SAP Fiori Elements Apps,<p>Join this free online course to learn how to develop your own SAP Fiori elements apps and extend an SAP S/4HANA app.</p>
26,26,26,openSAP,SAP Focused Run – Operations of Hybrid Landscapes,Hands-on Exercises; Hybrid Landscape;System Management;User and Integration Monitoring;Monitoring;SAP Focused Run,SAP Focused Run;Hybrid Landscapes;Cloud Computing;On-Premise Systems;System Management;Operations;IT Solutions;Enterprise Software;Digital Transformation;Cloud Operations,SAP Focused Run – Operations of Hybrid Landscapes,"<p>Join this free online course to learn about the value and capabilities of the SAP Focused Run solution and discover its features, functions, and processes for operating hybrid landscapes. </p>",SAP Focused Run – Operations of Hybrid Landscapes,"<p>Join this free online course to learn about the value and capabilities of the SAP Focused Run solution and discover its features, functions, and processes for operating hybrid landscapes. </p>"
27,27,27,openSAP,DevOps for ABAP with gCTS in SAP S/4HANA,Hands-on Programming Exercises;Application Programming;ABAP Development;Preparation;10years;Coding;gCTS;DevOps;Git;European Union Pact for Skills;ABAP;Basic Principles;CI CD Processes;SAP Development;Git-enabled Change and Transport System,DevOps;SAP S/4HANA;ABAP Development;Git;Change and Transport System (gCTS);Collaboration;Automation;Efficiency;Software Development;Integration,DevOps for ABAP with gCTS in SAP S/4HANA,<p>Join this free online course to learn about the Git-enabled Change and Transport System (gCTS) and how you can leverage it to set up DevOps for SAP S/4HANA ABAP development processes.</p>,DevOps for ABAP with gCTS in SAP S/4HANA,<p>Join this free online course to learn about the Git-enabled Change and Transport System (gCTS) and how you can leverage it to set up DevOps for SAP S/4HANA ABAP development processes.</p>
28,28,28,openSAP,Ride the SAP HANA Wave: Fundamentals and Insights into Cloud Databases,Hands-on Exercises;Architecture;Enterprise Deployment;SAP HANA;10years;System Demo;Data Modeling;System Demonstrations;System Adminstration;SAP HANA Cloud;European Union Pact for Skills;Data Integration;Artificial Intelligence;Data Aggregation;IoT;Data Provisioning;Databases;AI,SAP HANA;Database Technology;In-Memory;Cloud Computing;Data Processing;Business Insights;Data Analysis;Cloud Databases;Digital Transformation;Business Intelligence,Ride the SAP HANA Wave: Fundamentals and Insights into Cloud Databases,"<p>Join this free online course to get insights into SAP HANA and SAP HANA Cloud. Learn about the in-memory database technology and the different deployment options, and discover how you can make data available for business insights.</p>",Ride the SAP HANA Wave: Fundamentals and Insights into Cloud Databases,"<p>Join this free online course to get insights into SAP HANA and SAP HANA Cloud. Learn about the in-memory database technology and the different deployment options, and discover how you can make data available for business insights.</p>"
29,29,29,openSAP,Working with Calculation Views in SAP HANA Cloud,Performance Techniques;Architecture;Migration;SAP HANA;10years;Data Modeling;SAP HANA Cloud;HDI;European Union Pact for Skills;SAP HANA Deployment Infrastructure;Performance Deep-Dive;Model Development,SAP HANA Cloud;Calculation Views;Data Modeling;Performance Optimization;Data Transformation;Complex Calculations;Large Datasets;Expert Knowledge;Online Course;Data Analysis,Working with Calculation Views in SAP HANA Cloud,<p>Join this free online course to learn about model development in SAP HANA Cloud and how you can leverage expert performance knowledge to increase the quality of your calculation view models.</p>,Working with Calculation Views in SAP HANA Cloud,<p>Join this free online course to learn about model development in SAP HANA Cloud and how you can leverage expert performance knowledge to increase the quality of your calculation view models.</p>
30,30,30,openSAP,A First Step Towards SAP HANA Query Optimization,Hands-on Exercises;Analysis Tools;Case Studies;Column Search;SAP HANA;Query Performance Analysis;SAP HANA SQL Optimizer;OOM;Planviz;Query Processing;European Union Pact for Skills;SQL;Out-of-memory;Business Technology Platform;BTP,SAP HANA;Query Optimization;Database Performance;Query Analysis;Troubleshooting;Out-of-Memory (OOM);Execution Time;Query Performance;Database System;Optimization Techniques,A First Step Towards SAP HANA Query Optimization,"<p>Join this free online course to learn how to analyze query performance issues in SAP HANA and optimize queries yourself, including investigating out-of-memory (OOM) issues deriving from queries and finding solutions to improve execution time.</p>",A First Step Towards SAP HANA Query Optimization,"<p>Join this free online course to learn how to analyze query performance issues in SAP HANA and optimize queries yourself, including investigating out-of-memory (OOM) issues deriving from queries and finding solutions to improve execution time.</p>"
31,31,31,openSAP,Using the Optimizer for SQLScript Programming in SAP HANA,Hands-on Exercises;Analysis Tools;SQLScript engine;SAP HANA;Query Performance Analysis;SAP HANA SQL Optimizer;Query Processing;Programming;SQL query performance;SQL;SQLScript Optimizer,SQLScript;Optimizer;SAP HANA;Efficiency;Performance;Coding;Database;Analysis;Optimization;Programming,Using the Optimizer for SQLScript Programming in SAP HANA,<p>Join this free online course to learn about the SQLScript optimizer and how it helps to run SQLScript in SAP HANA more efficiently.</p>,Using the Optimizer for SQLScript Programming in SAP HANA,<p>Join this free online course to learn about the SQLScript optimizer and how it helps to run SQLScript in SAP HANA more efficiently.</p>
32,32,32,OPEN vhb,Grundlagen der Migration,Migration;Immigration;migration background;sociology;integration,Migration;Germany;Immigration;Laws;Theories;Concepts;History;Research;Foundation;Introduction,Grundlagen der Migration,,Fundamentals of migration,
33,33,33,OPEN vhb,Grundlagen und Arbeitsmethoden der Zellbiologie,cell biology;molecular biology;labratory methods;biomedical research;dental medicine,Cell Biology;Online Course;Fundamentals;Methods;Research Laboratory;Molecular Biology;Biotechnology;Science Education;Introduction;Cell Structure,Grundlagen und Arbeitsmethoden der Zellbiologie,,Basics and working methods of cell biology,
34,34,34,OPEN vhb,Understanding EU Policy-Making: The Case of the European Migration and Asylum Policy,European Union;Political Science;Migration;Asylum Policy,European Union;Policy-making;Migration;Asylum;History;Integration;Actors;Politics;Governance;European Affairs,Understanding EU Policy-Making: The Case of the European Migration and Asylum Policy,,Understanding EU Policy-Making: The Case of the European Migration and Asylum Policy,
35,35,35,OPEN vhb,Medienrecht für Journalisten und Blogger,media legislation;blogger;copyright;advertising law;online journalism,Media law;Journalists;Bloggers;Online content;Legal regulations;Media rights;Internet law;Communication;Content creation;Digital publishing,,,Media law for journalists and bloggers,
36,36,36,OPEN vhb,Introduction to the World of Public Economics,public economics;financial sciences;national economy;TH Deggendorf,Public Economics;Government Intervention;Market Failures;Environmental Problems;Industrial Production;Economic System;Efficiency;Justice;Social Welfare;Economic Stability,Introduction to the World of Public Economics,,Introduction to the World of Public Economics,
37,37,37,OPEN vhb,Das intelligente Wohnen der Zukunft,energy management;communication systems;energy saving buildings;energy saving construction;smart houses,Smart Homes;Energy Efficiency;Automation Technology;Sustainable Living;Resource Conservation;Demographic Change;Energy Generation;Home Automation;Comfort and Security;Future of Living,Das intelligente Wohnen der Zukunft,,The intelligent living of the future,
38,38,38,OPEN vhb,Kultur und Recht,culture;law;interculturalism;ethics;moral,Cultural differences;Law and culture;Interkulturalität;Legal issues;Contemporary society;Real-life examples;Accessibility;Understanding law;Cultural identity;Global perspectives,Kultur und Recht,,Culture and law,
39,39,39,OPEN vhb,Stressmanagement,Stress compensation;stress reduction;stress management;stress development;problem-solving strategies,Stress Management;Psychological Background;Stress Relief;Learning Resource;Course Material;Self-Development;Stress Reduction;Mindfulness;Coping Mechanisms;Personal Growth,Stressmanagement,,Stress management,
